step,rewards,times
44,-44,0.003
202,-301,0.013
82,-82,0.006
354,-354,0.023
60,-60,0.006
62,-62,0.005
471,-570,0.03
221,-419,0.015
447,-546,0.032
46,-46,0.004
54,-54,0.004
237,-336,0.014
152,-350,0.011
52,-52,0.005
74,-74,0.005
64,-64,0.006
106,-106,0.008
46,-46,0.004
393,-393,0.024
134,-134,0.008
260,-260,0.017
58,-58,0.007
182,-380,0.009
68,-68,0.006
44,-44,0.004
82,-82,0.005
48,-48,0.005
234,-234,0.012
48,-48,0.005
72,-72,0.004
330,-330,0.015
74,-173,0.006
208,-406,0.012
44,-44,0.003
86,-86,0.006
404,-602,0.024
58,-58,0.004
46,-46,0.002
80,-80,0.007
54,-54,0.003
56,-56,0.004
54,-54,0.004
158,-158,0.009
54,-54,0.004
60,-159,0.003
254,-254,0.012
58,-58,0.002
134,-233,0.008
52,-52,0.004
52,-52,0.004
62,-62,0.003
291,-390,0.014
100,-100,0.004
56,-56,0.005
50,-50,0.006
281,-281,0.013
54,-54,0.004
67,-166,0.004
54,-54,0.004
183,-282,0.009
116,-116,0.004
80,-80,0.006
74,-74,0.005
274,-571,0.014
220,-220,0.009
127,-226,0.008
66,-66,0.003
50,-50,0.003
300,-300,0.014
48,-48,0.003
50,-50,0.002
501,-501,0.027
78,-78,0.003
58,-58,0.004
124,-124,0.01
50,-50,0.003
48,-48,0.003
77,-176,0.006
58,-58,0.004
257,-356,0.013
44,-44,0.003
52,-52,0.003
130,-130,0.005
252,-252,0.013
50,-50,0.002
56,-56,0.004
55,-154,0.003
255,-255,0.011
44,-44,0.005
256,-256,0.01
399,-498,0.017
56,-56,0.005
46,-46,0.003
48,-48,0.005
180,-279,0.007
62,-62,0.005
345,-444,0.015
62,-62,0.005
124,-124,0.005
74,-173,0.007
66,-66,0.006
52,-52,0.002
60,-60,0.003
114,-213,0.008
52,-52,0.003
105,-204,0.004
54,-54,0.002
76,-76,0.006
50,-50,0.003
393,-393,0.019
54,-54,0.003
96,-294,0.009
152,-152,0.008
60,-60,0.005
50,-50,0.004
183,-183,0.009
102,-102,0.008
48,-48,0.003
58,-58,0.005
90,-90,0.01
203,-302,0.015
92,-92,0.008
154,-154,0.016
42,-42,0.004
54,-54,0.005
70,-70,0.004
46,-46,0.003
50,-50,0.002
50,-50,0.006
52,-52,0.004
293,-392,0.016
56,-56,0.004
477,-477,0.024
329,-626,0.017
60,-60,0.004
50,-50,0.006
107,-206,0.023
62,-62,0.005
64,-163,0.006
185,-284,0.014
50,-50,0.005
60,-60,0.004
363,-462,0.022
56,-56,0.012
152,-251,0.01
88,-88,0.008
56,-56,0.005
68,-68,0.006
46,-46,0.006
323,-323,0.024
48,-48,0.003
106,-106,0.008
102,-102,0.006
100,-199,0.007
395,-494,0.029
168,-168,0.011
262,-262,0.016
52,-52,0.005
192,-291,0.015
52,-151,0.006
72,-72,0.007
56,-56,0.004
62,-62,0.003
166,-166,0.015
46,-46,0.004
48,-48,0.007
62,-62,0.006
44,-44,0.006
414,-513,0.037
58,-58,0.004
90,-90,0.01
350,-449,0.027
130,-130,0.009
108,-207,0.007
58,-58,0.005
42,-42,0.005
58,-58,0.004
58,-58,0.003
48,-48,0.003
52,-52,0.006
86,-86,0.005
50,-50,0.003
48,-48,0.003
48,-48,0.006
177,-276,0.015
114,-312,0.006
160,-160,0.011
54,-54,0.004
198,-198,0.013
307,-406,0.021
54,-54,0.002
94,-193,0.01
236,-434,0.018
54,-54,0.003
522,-621,0.032
195,-195,0.012
50,-50,0.003
84,-84,0.006
272,-470,0.016
48,-48,0.002
121,-121,0.008
128,-128,0.008
67,-166,0.003
56,-56,0.006
80,-80,0.007
277,-277,0.016
544,-544,0.032
42,-42,0.003
166,-265,0.014
97,-394,0.006
228,-228,0.015
66,-66,0.005
76,-76,0.006
56,-56,0.004
52,-52,0.002
80,-80,0.007
42,-42,0.002
181,-280,0.007
310,-310,0.015
50,-50,0.003
49,-148,0.004
52,-52,0.003
56,-56,0.004
117,-216,0.005
50,-50,0.005
60,-60,0.004
50,-50,0.003
48,-48,0.003
206,-206,0.014
60,-60,0.004
56,-56,0.004
84,-84,0.005
56,-56,0.004
48,-48,0.002
72,-72,0.005
333,-531,0.019
54,-54,0.004
224,-323,0.01
116,-116,0.007
54,-54,0.003
75,-174,0.004
296,-296,0.024
57,-57,0.004
64,-64,0.004
62,-62,0.003
58,-58,0.006
318,-318,0.016
42,-42,0.002
52,-52,0.003
255,-354,0.013
126,-126,0.006
48,-48,0.003
62,-62,0.006
138,-138,0.006
78,-78,0.003
52,-52,0.005
40,-40,0.004
166,-166,0.007
58,-58,0.003
48,-48,0.004
58,-58,0.005
158,-158,0.006
157,-355,0.009
58,-58,0.003
46,-46,0.003
263,-461,0.012
95,-293,0.006
52,-52,0.003
58,-58,0.005
365,-464,0.016
120,-120,0.006
46,-46,0.002
351,-450,0.015
58,-58,0.003
373,-472,0.022
58,-58,0.004
52,-52,0.003
90,-90,0.003
133,-331,0.01
78,-78,0.005
46,-46,0.002
54,-54,0.007
78,-78,0.004
60,-60,0.004
140,-239,0.008
64,-64,0.004
42,-42,0.003
42,-42,0.002
44,-44,0.003
484,-484,0.022
155,-254,0.012
274,-274,0.03
46,-46,0.004
48,-48,0.004
44,-44,0.002
50,-50,0.004
46,-46,0.004
56,-254,0.003
124,-124,0.008
58,-58,0.005
48,-48,0.005
245,-344,0.016
48,-48,0.004
52,-52,0.004
94,-94,0.006
119,-218,0.009
141,-240,0.006
62,-62,0.006
56,-56,0.004
44,-44,0.003
58,-58,0.003
266,-365,0.016
164,-164,0.009
56,-56,0.003
58,-58,0.003
70,-70,0.003
56,-56,0.005
54,-54,0.004
110,-110,0.005
52,-52,0.002
58,-58,0.006
149,-248,0.01
357,-357,0.017
44,-44,0.007
58,-58,0.004
331,-430,0.017
52,-52,0.002
44,-44,0.003
48,-48,0.002
53,-152,0.004
42,-42,0.002
102,-102,0.005
96,-96,0.005
56,-56,0.004
54,-54,0.004
106,-205,0.006
56,-56,0.003
85,-184,0.005
245,-344,0.011
166,-166,0.009
46,-46,0.003
68,-68,0.005
117,-216,0.008
76,-175,0.004
266,-266,0.015
59,-158,0.003
381,-381,0.016
279,-378,0.015
84,-183,0.003
60,-60,0.004
88,-88,0.005
48,-48,0.004
499,-598,0.02
74,-74,0.006
58,-58,0.004
58,-58,0.004
86,-86,0.003
50,-50,0.003
46,-46,0.003
50,-50,0.004
68,-68,0.004
108,-108,0.005
87,-186,0.006
64,-64,0.003
44,-44,0.002
46,-46,0.003
44,-44,0.003
127,-226,0.007
86,-185,0.005
75,-174,0.003
136,-136,0.009
42,-42,0.003
182,-182,0.008
46,-46,0.004
73,-172,0.005
192,-192,0.009
88,-88,0.007
50,-149,0.003
46,-46,0.004
56,-56,0.004
46,-46,0.006
40,-40,0.002
46,-46,0.004
48,-48,0.006
64,-64,0.003
187,-286,0.008
122,-122,0.007
44,-44,0.005
92,-191,0.004
186,-186,0.015
70,-169,0.006
121,-418,0.008
60,-159,0.003
232,-232,0.014
60,-60,0.003
120,-120,0.008
52,-52,0.004
132,-330,0.006
46,-46,0.005
52,-52,0.003
179,-278,0.009
46,-46,0.003
333,-630,0.017
58,-58,0.005
46,-46,0.003
48,-48,0.003
352,-352,0.018
399,-498,0.024
42,-42,0.005
62,-161,0.005
48,-48,0.004
58,-58,0.005
48,-48,0.003
44,-44,0.002
59,-158,0.003
42,-42,0.005
60,-60,0.005
106,-106,0.009
44,-44,0.004
300,-300,0.019
68,-167,0.004
44,-44,0.002
58,-58,0.005
239,-437,0.013
146,-245,0.009
42,-42,0.004
42,-42,0.002
136,-136,0.009
48,-48,0.002
54,-54,0.003
60,-60,0.003
277,-376,0.016
384,-483,0.02
48,-48,0.005
84,-183,0.007
86,-185,0.005
66,-66,0.004
48,-48,0.004
86,-86,0.004
56,-56,0.005
187,-187,0.01
68,-68,0.004
200,-200,0.01
384,-483,0.017
48,-48,0.004
72,-72,0.005
58,-58,0.004
46,-46,0.002
48,-48,0.005
57,-156,0.005
46,-46,0.004
48,-48,0.003
63,-162,0.004
215,-413,0.01
250,-349,0.016
52,-52,0.007
60,-60,0.003
96,-96,0.008
129,-426,0.009
64,-64,0.006
40,-40,0.003
46,-46,0.004
44,-44,0.003
244,-244,0.015
167,-266,0.011
56,-56,0.006
42,-42,0.004
44,-44,0.006
168,-267,0.009
91,-190,0.009
493,-493,0.027
44,-44,0.004
58,-58,0.004
56,-56,0.004
46,-46,0.003
46,-46,0.004
140,-140,0.007
44,-44,0.004
86,-86,0.005
42,-42,0.004
210,-309,0.012
263,-263,0.018
114,-312,0.007
138,-435,0.022
89,-188,0.009
42,-42,0.004
227,-227,0.016
122,-221,0.008
44,-44,0.005
103,-301,0.006
192,-291,0.013
80,-179,0.006
159,-258,0.014
48,-48,0.004
130,-130,0.01
62,-62,0.005
48,-48,0.008
60,-60,0.005
103,-301,0.01
62,-62,0.004
152,-152,0.011
105,-204,0.008
46,-46,0.003
234,-333,0.013
48,-48,0.003
479,-479,0.025
56,-56,0.004
44,-44,0.003
50,-50,0.003
170,-170,0.011
56,-56,0.003
54,-54,0.005
92,-191,0.008
46,-46,0.003
50,-50,0.003
62,-62,0.006
56,-56,0.004
97,-196,0.005
62,-62,0.006
50,-50,0.005
64,-64,0.004
90,-90,0.005
48,-48,0.006
44,-44,0.002
46,-46,0.004
43,-142,0.003
62,-62,0.007
161,-260,0.008
50,-50,0.007
55,-154,0.004
60,-60,0.004
158,-158,0.01
50,-50,0.004
44,-44,0.004
73,-73,0.007
52,-52,0.004
50,-50,0.003
371,-371,0.021
178,-178,0.011
148,-346,0.007
46,-46,0.004
52,-52,0.003
48,-48,0.003
80,-179,0.004
42,-42,0.002
97,-196,0.008
331,-430,0.015
82,-82,0.005
40,-40,0.003
86,-86,0.004
394,-592,0.02
54,-54,0.004
50,-50,0.003
58,-58,0.003
224,-521,0.011
141,-240,0.006
50,-50,0.004
40,-40,0.003
49,-148,0.004
46,-46,0.002
44,-44,0.003
56,-56,0.003
48,-48,0.005
170,-269,0.009
42,-42,0.003
147,-444,0.011
178,-277,0.009
50,-50,0.004
64,-64,0.004
117,-315,0.005
44,-44,0.005
60,-60,0.004
46,-46,0.003
46,-145,0.003
48,-48,0.003
267,-267,0.02
70,-70,0.005
200,-200,0.012
50,-50,0.004
67,-166,0.003
265,-265,0.015
52,-52,0.003
48,-48,0.002
42,-42,0.004
46,-46,0.005
56,-56,0.003
82,-82,0.005
60,-60,0.004
48,-48,0.004
237,-237,0.011
44,-44,0.004
42,-42,0.003
76,-76,0.004
44,-44,0.003
48,-48,0.002
64,-64,0.005
46,-46,0.003
44,-44,0.002
46,-46,0.003
52,-52,0.003
44,-44,0.002
105,-204,0.006
48,-48,0.004
216,-216,0.009
48,-48,0.004
52,-52,0.003
40,-40,0.002
60,-60,0.003
123,-222,0.006
486,-783,0.023
318,-318,0.016
50,-50,0.002
44,-44,0.003
115,-313,0.008
44,-44,0.003
287,-386,0.017
133,-430,0.006
85,-184,0.007
42,-42,0.003
52,-52,0.003
54,-153,0.003
116,-116,0.007
44,-44,0.004
64,-163,0.004
67,-166,0.003
60,-60,0.007
52,-52,0.003
124,-124,0.005
46,-46,0.003
50,-50,0.005
147,-246,0.007
46,-46,0.003
117,-216,0.008
58,-58,0.002
46,-46,0.003
40,-40,0.002
48,-48,0.002
42,-42,0.003
238,-238,0.012
119,-218,0.006
118,-316,0.008
56,-56,0.003
42,-42,0.003
129,-228,0.008
44,-44,0.004
48,-48,0.002
56,-155,0.005
48,-48,0.004
52,-52,0.005
42,-42,0.003
42,-42,0.002
46,-46,0.004
44,-44,0.004
48,-48,0.002
51,-150,0.004
105,-204,0.004
78,-78,0.007
450,-549,0.023
60,-60,0.003
372,-570,0.024
254,-254,0.016
48,-48,0.004
345,-345,0.019
60,-60,0.003
48,-48,0.005
57,-156,0.004
80,-179,0.004
56,-155,0.002
58,-58,0.005
48,-48,0.005
122,-221,0.006
46,-46,0.006
66,-66,0.005
42,-42,0.005
413,-512,0.022
48,-48,0.005
200,-299,0.016
46,-46,0.002
70,-70,0.006
60,-258,0.003
163,-163,0.011
148,-148,0.009
42,-42,0.004
52,-52,0.004
134,-134,0.018
208,-505,0.018
58,-58,0.007
79,-178,0.007
56,-56,0.005
46,-46,0.003
102,-102,0.005
177,-177,0.013
44,-44,0.004
50,-50,0.004
50,-50,0.004
48,-48,0.006
48,-48,0.005
40,-40,0.002
44,-44,0.003
54,-54,0.006
56,-56,0.005
42,-42,0.003
85,-184,0.006
234,-234,0.012
133,-133,0.008
91,-190,0.006
96,-195,0.009
42,-42,0.004
48,-48,0.004
93,-192,0.005
280,-478,0.018
104,-104,0.006
75,-174,0.006
87,-186,0.006
46,-46,0.003
46,-46,0.006
377,-476,0.019
48,-48,0.004
70,-70,0.005
160,-259,0.008
46,-46,0.005
52,-52,0.005
44,-44,0.004
357,-456,0.018
40,-40,0.002
46,-46,0.007
44,-44,0.004
50,-50,0.003
50,-50,0.003
46,-46,0.006
40,-40,0.011
429,-726,0.02
156,-354,0.008
46,-46,0.004
48,-48,0.004
54,-54,0.003
48,-48,0.005
60,-159,0.005
64,-163,0.006
68,-68,0.004
40,-40,0.004
48,-246,0.006
50,-50,0.006
70,-70,0.004
46,-46,0.004
50,-50,0.004
54,-54,0.004
110,-209,0.007
159,-258,0.012
60,-159,0.003
48,-48,0.004
107,-206,0.009
46,-46,0.003
40,-40,0.004
91,-190,0.009
47,-146,0.003
84,-183,0.004
232,-232,0.013
40,-40,0.002
52,-52,0.005
40,-40,0.002
52,-52,0.005
54,-54,0.003
50,-50,0.003
52,-52,0.005
48,-48,0.003
40,-40,0.004
46,-46,0.002
66,-66,0.005
42,-42,0.004
48,-48,0.004
44,-44,0.002
124,-223,0.009
195,-393,0.011
48,-48,0.004
79,-178,0.005
180,-180,0.015
78,-177,0.006
44,-44,0.003
143,-242,0.01
56,-56,0.005
271,-370,0.014
40,-40,0.003
40,-40,0.003
246,-246,0.013
48,-48,0.005
53,-152,0.003
48,-48,0.004
52,-52,0.004
54,-54,0.004
243,-342,0.015
94,-193,0.006
49,-148,0.005
219,-318,0.011
54,-54,0.005
107,-206,0.006
243,-243,0.012
50,-50,0.002
48,-48,0.002
93,-192,0.006
60,-159,0.005
62,-62,0.004
191,-290,0.011
46,-46,0.004
48,-48,0.002
44,-44,0.004
44,-44,0.005
81,-180,0.006
52,-52,0.002
161,-260,0.012
42,-42,0.003
46,-46,0.002
42,-42,0.003
252,-351,0.015
45,-144,0.004
54,-54,0.004
79,-178,0.005
50,-50,0.002
83,-182,0.007
347,-446,0.02
44,-44,0.003
83,-182,0.004
46,-46,0.005
81,-180,0.006
206,-503,0.01
50,-50,0.003
42,-42,0.003
277,-277,0.015
42,-42,0.004
70,-70,0.003
40,-40,0.002
48,-48,0.004
42,-42,0.004
63,-162,0.006
211,-211,0.013
100,-199,0.005
76,-175,0.005
56,-56,0.005
48,-48,0.004
48,-48,0.002
46,-46,0.003
48,-48,0.004
62,-62,0.006
46,-46,0.004
128,-128,0.007
67,-166,0.004
80,-80,0.004
48,-48,0.002
51,-150,0.003
50,-50,0.005
40,-40,0.003
52,-52,0.003
115,-214,0.006
50,-50,0.006
80,-80,0.005
42,-42,0.003
44,-44,0.004
84,-183,0.006
44,-44,0.003
359,-359,0.016
46,-46,0.004
137,-335,0.008
48,-48,0.004
107,-206,0.007
46,-46,0.004
175,-274,0.011
42,-42,0.005
40,-40,0.003
62,-161,0.004
44,-44,0.003
82,-181,0.007
44,-44,0.005
54,-54,0.004
48,-48,0.004
48,-48,0.005
44,-44,0.004
50,-50,0.004
366,-465,0.019
44,-44,0.006
52,-52,0.004
52,-52,0.005
48,-48,0.005
42,-42,0.004
56,-56,0.003
44,-44,0.003
87,-186,0.005
46,-46,0.004
46,-46,0.004
48,-48,0.004
42,-42,0.003
56,-56,0.007
68,-167,0.005
246,-246,0.014
72,-72,0.003
107,-206,0.009
46,-46,0.003
70,-70,0.004
44,-44,0.003
46,-46,0.004
510,-510,0.05
46,-46,0.002
130,-130,0.007
46,-46,0.003
44,-44,0.005
46,-46,0.003
52,-52,0.003
64,-64,0.006
46,-46,0.006
81,-279,0.006
114,-114,0.01
396,-495,0.02
56,-56,0.004
130,-130,0.007
48,-48,0.006
40,-40,0.004
56,-56,0.003
74,-173,0.008
160,-457,0.009
52,-52,0.004
40,-40,0.005
48,-48,0.004
44,-44,0.003
44,-44,0.003
48,-48,0.006
50,-50,0.004
50,-50,0.003
169,-367,0.011
120,-318,0.006
50,-50,0.003
146,-245,0.01
50,-50,0.003
46,-46,0.002
156,-255,0.01
50,-50,0.003
42,-42,0.002
66,-66,0.006
286,-484,0.015
44,-44,0.005
46,-46,0.003
46,-46,0.002
332,-332,0.019
68,-68,0.004
64,-64,0.005
133,-232,0.009
412,-511,0.03
54,-54,0.004
64,-64,0.007
238,-436,0.018
44,-44,0.003
46,-46,0.003
48,-48,0.002
44,-44,0.006
42,-42,0.006
42,-42,0.003
46,-46,0.003
42,-42,0.007
46,-46,0.004
76,-175,0.004
44,-44,0.004
50,-50,0.004
126,-126,0.005
157,-256,0.008
46,-46,0.006
48,-48,0.004
158,-257,0.015
40,-40,0.004
44,-44,0.006
50,-50,0.005
46,-46,0.003
205,-304,0.012
56,-56,0.004
42,-42,0.002
50,-50,0.005
44,-44,0.005
88,-187,0.005
40,-40,0.002
52,-52,0.005
58,-58,0.004
69,-168,0.003
52,-52,0.002
44,-44,0.004
53,-152,0.006
101,-299,0.006
46,-46,0.003
46,-46,0.002
165,-363,0.01
56,-56,0.004
44,-44,0.002
82,-181,0.006
66,-66,0.004
46,-46,0.003
46,-46,0.003
50,-50,0.002
46,-46,0.005
42,-42,0.003
178,-178,0.008
262,-460,0.015
62,-62,0.003
78,-177,0.006
218,-614,0.015
44,-44,0.004
94,-94,0.004
46,-46,0.003
58,-58,0.004
158,-356,0.009
46,-46,0.002
127,-325,0.006
50,-50,0.004
46,-46,0.004
44,-44,0.003
218,-317,0.016
52,-52,0.002
48,-48,0.006
46,-46,0.004
46,-46,0.002
296,-296,0.015
253,-352,0.013
58,-58,0.004
62,-161,0.003
46,-46,0.002
46,-46,0.005
48,-48,0.003
52,-52,0.004
52,-52,0.003
46,-46,0.003
64,-64,0.005
46,-46,0.003
80,-179,0.004
219,-417,0.011
46,-46,0.004
46,-46,0.003
109,-208,0.008
52,-52,0.003
54,-54,0.005
42,-42,0.003
42,-42,0.004
296,-395,0.015
44,-44,0.003
46,-46,0.004
56,-56,0.005
44,-44,0.004
123,-123,0.007
56,-56,0.005
42,-42,0.004
338,-437,0.016
42,-42,0.004
42,-42,0.003
78,-177,0.005
44,-44,0.002
48,-48,0.005
46,-46,0.004
181,-280,0.009
87,-186,0.007
40,-40,0.002
180,-477,0.014
63,-162,0.004
174,-174,0.013
49,-148,0.003
46,-46,0.003
44,-44,0.003
42,-42,0.002
120,-120,0.01
87,-87,0.005
50,-50,0.003
94,-292,0.007
50,-50,0.005
44,-44,0.003
40,-40,0.004
44,-44,0.004
44,-44,0.004
44,-44,0.003
46,-46,0.003
56,-56,0.004
44,-44,0.005
286,-385,0.019
81,-279,0.004
54,-54,0.007
46,-46,0.005
42,-42,0.002
40,-40,0.003
188,-287,0.012
76,-175,0.004
55,-154,0.006
46,-46,0.004
48,-48,0.004
48,-48,0.002
48,-48,0.004
42,-42,0.005
53,-152,0.003
211,-310,0.01
56,-56,0.006
66,-66,0.003
44,-44,0.002
96,-195,0.008
124,-223,0.007
217,-217,0.012
52,-151,0.005
48,-48,0.003
42,-42,0.004
74,-173,0.005
48,-48,0.003
166,-463,0.009
143,-242,0.008
141,-339,0.009
46,-46,0.004
690,-1284,0.035
44,-44,0.009
89,-188,0.009
44,-44,0.013
50,-50,0.005
46,-46,0.003
48,-48,0.005
44,-44,0.004
74,-173,0.004
44,-44,0.002
131,-428,0.007
44,-44,0.004
46,-46,0.004
180,-279,0.015
44,-44,0.006
52,-52,0.005
166,-265,0.013
44,-44,0.006
166,-265,0.018
40,-40,0.003
42,-42,0.004
44,-44,0.008
44,-44,0.004
113,-212,0.007
44,-44,0.007
54,-153,0.004
131,-527,0.01
42,-42,0.004
46,-46,0.003
42,-42,0.003
44,-44,0.007
50,-50,0.004
68,-167,0.004
114,-213,0.011
82,-181,0.006
44,-44,0.003
88,-187,0.008
40,-40,0.003
82,-181,0.005
52,-52,0.006
42,-42,0.005
52,-52,0.004
50,-50,0.003
57,-156,0.007
218,-317,0.018
44,-44,0.003
52,-151,0.003
50,-50,0.007
48,-48,0.005
52,-52,0.003
44,-44,0.003
142,-340,0.011
48,-48,0.003
42,-42,0.004
225,-225,0.024
46,-46,0.004
54,-54,0.008
42,-42,0.004
88,-187,0.005
44,-44,0.004
40,-40,0.005
48,-48,0.003
54,-54,0.003
44,-44,0.004
40,-40,0.006
40,-40,0.003
125,-224,0.006
152,-152,0.01
44,-44,0.003
78,-177,0.005
42,-42,0.003
48,-48,0.005
58,-58,0.003
46,-46,0.003
42,-42,0.002
83,-182,0.007
44,-44,0.005
129,-228,0.007
50,-50,0.007
40,-40,0.016
52,-52,0.009
64,-163,0.009
46,-46,0.004
150,-447,0.011
40,-40,0.003
42,-42,0.003
40,-40,0.002
46,-46,0.004
259,-457,0.014
40,-40,0.006
44,-44,0.004
48,-48,0.003
53,-152,0.003
44,-44,0.005
49,-148,0.004
330,-330,0.016
48,-48,0.002
247,-247,0.013
78,-177,0.005
176,-176,0.011
50,-50,0.003
42,-42,0.003
110,-209,0.005
102,-201,0.008
48,-48,0.003
42,-42,0.002
142,-142,0.014
46,-46,0.002
44,-44,0.003
54,-153,0.006
46,-46,0.004
84,-183,0.004
46,-46,0.004
42,-42,0.005
54,-54,0.005
44,-44,0.002
65,-164,0.004
57,-156,0.003
185,-284,0.011
42,-42,0.004
280,-379,0.014
44,-44,0.003
97,-196,0.007
44,-44,0.002
46,-46,0.004
40,-40,0.002
42,-42,0.003
42,-42,0.007
42,-42,0.003
52,-52,0.005
46,-46,0.006
100,-199,0.01
56,-56,0.006
360,-657,0.023
44,-44,0.003
88,-88,0.005
202,-499,0.014
46,-46,0.005
56,-56,0.006
121,-319,0.006
42,-42,0.004
75,-174,0.007
54,-54,0.003
69,-168,0.004
42,-42,0.006
50,-50,0.005
76,-76,0.005
52,-52,0.006
44,-44,0.004
290,-686,0.018
44,-44,0.003
116,-116,0.008
46,-46,0.003
46,-46,0.004
175,-373,0.014
52,-52,0.003
50,-50,0.004
44,-44,0.006
44,-44,0.004
50,-50,0.004
44,-44,0.004
52,-52,0.005
48,-147,0.004
48,-48,0.005
50,-50,0.003
87,-186,0.007
50,-50,0.004
232,-331,0.012
54,-54,0.004
46,-46,0.004
44,-44,0.004
52,-52,0.004
46,-46,0.004
80,-179,0.004
42,-42,0.004
52,-52,0.004
46,-46,0.004
48,-48,0.003
101,-299,0.009
110,-110,0.008
48,-48,0.002
163,-163,0.012
42,-42,0.004
50,-50,0.005
40,-40,0.005
48,-48,0.003
60,-159,0.003
40,-40,0.002
56,-56,0.007
57,-156,0.013
108,-207,0.011
40,-40,0.003
276,-276,0.016
161,-260,0.012
56,-155,0.003
42,-42,0.006
60,-60,0.005
44,-44,0.005
44,-44,0.006
44,-44,0.003
40,-40,0.003
47,-146,0.004
50,-50,0.002
42,-42,0.005
229,-427,0.01
52,-52,0.005
42,-42,0.003
46,-46,0.004
42,-42,0.005
44,-44,0.002
48,-48,0.006
42,-42,0.004
70,-169,0.005
106,-205,0.005
287,-287,0.014
47,-47,0.005
46,-46,0.004
48,-48,0.004
42,-42,0.003
40,-40,0.002
42,-42,0.004
48,-48,0.003
46,-46,0.019
50,-50,0.005
42,-42,0.004
48,-48,0.005
42,-42,0.004
48,-48,0.008
40,-40,0.006
50,-50,0.003
42,-42,0.004
46,-46,0.005
74,-173,0.005
50,-50,0.004
40,-40,0.007
113,-212,0.008
46,-46,0.005
96,-195,0.008
46,-46,0.004
83,-182,0.006
44,-44,0.005
44,-44,0.004
42,-42,0.003
40,-40,0.002
44,-44,0.006
52,-52,0.005
79,-178,0.004
114,-114,0.009
44,-44,0.004
52,-52,0.003
361,-361,0.021
42,-42,0.004
95,-194,0.008
89,-188,0.004
40,-40,0.006
77,-176,0.005
79,-178,0.004
303,-402,0.014
220,-220,0.018
40,-40,0.002
77,-374,0.008
56,-56,0.004
44,-44,0.002
161,-260,0.012
55,-154,0.003
44,-44,0.004
44,-44,0.006
56,-56,0.006
47,-146,0.004
50,-50,0.003
42,-42,0.005
48,-48,0.004
58,-58,0.003
42,-42,0.003
50,-50,0.004
40,-40,0.003
87,-186,0.005
50,-50,0.003
63,-162,0.005
48,-48,0.003
42,-42,0.003
40,-40,0.003
42,-42,0.002
51,-150,0.003
72,-72,0.005
46,-46,0.004
51,-150,0.003
46,-46,0.004
157,-256,0.01
42,-42,0.002
112,-310,0.009
50,-50,0.004
393,-591,0.033
40,-40,0.004
58,-157,0.003
44,-44,0.002
40,-40,0.006
42,-42,0.004
107,-206,0.006
48,-48,0.004
46,-46,0.004
78,-177,0.005
42,-42,0.002
121,-319,0.008
48,-48,0.004
72,-72,0.003
48,-48,0.002
46,-46,0.003
50,-50,0.004
52,-52,0.005
42,-42,0.002
46,-46,0.003
74,-173,0.005
46,-46,0.004
54,-54,0.003
44,-44,0.002
48,-48,0.003
46,-46,0.002
94,-193,0.008
157,-256,0.006
53,-152,0.004
76,-175,0.005
42,-42,0.004
42,-42,0.003
40,-40,0.002
48,-48,0.005
58,-58,0.004
44,-44,0.003
42,-42,0.002
51,-150,0.002
46,-46,0.005
184,-184,0.008
50,-50,0.003
46,-46,0.003
82,-181,0.005
356,-455,0.017
44,-44,0.003
46,-46,0.002
50,-50,0.003
63,-63,0.004
48,-48,0.004
42,-42,0.002
44,-44,0.002
93,-192,0.005
40,-40,0.002
40,-40,0.005
44,-44,0.003
40,-40,0.003
44,-44,0.003
44,-44,0.002
44,-44,0.004
42,-42,0.003
48,-48,0.003
42,-42,0.003
42,-42,0.002
48,-48,0.003
48,-48,0.005
48,-48,0.003
44,-44,0.003
48,-48,0.002
42,-42,0.002
84,-183,0.006
102,-102,0.007
92,-191,0.005
44,-44,0.004
45,-144,0.004
135,-333,0.007
48,-48,0.004
48,-48,0.004
50,-50,0.002
128,-128,0.005
40,-40,0.002
52,-52,0.006
52,-52,0.004
44,-44,0.002
75,-174,0.004
44,-44,0.002
87,-186,0.006
40,-40,0.003
40,-40,0.002
230,-527,0.012
59,-158,0.004
174,-372,0.008
48,-48,0.004
42,-42,0.003
85,-184,0.005
138,-138,0.009
301,-400,0.015
42,-42,0.004
44,-44,0.003
44,-44,0.002
224,-224,0.015
52,-52,0.003
85,-184,0.007
46,-46,0.004
44,-44,0.003
142,-340,0.008
44,-44,0.003
42,-42,0.003
73,-172,0.004
46,-46,0.003
42,-42,0.005
42,-42,0.004
155,-254,0.009
50,-50,0.004
52,-52,0.004
79,-178,0.004
48,-48,0.003
42,-42,0.004
46,-46,0.003
67,-166,0.003
44,-44,0.003
46,-46,0.002
270,-369,0.013
47,-146,0.003
42,-42,0.002
40,-40,0.004
46,-46,0.003
40,-40,0.004
46,-46,0.003
42,-42,0.002
56,-56,0.004
86,-185,0.004
83,-182,0.004
50,-50,0.003
42,-42,0.002
42,-42,0.003
42,-42,0.004
46,-46,0.005
51,-150,0.003
44,-44,0.002
166,-265,0.01
50,-50,0.004
56,-155,0.003
48,-48,0.004
52,-52,0.004
48,-48,0.002
70,-169,0.003
42,-42,0.002
96,-195,0.008
53,-152,0.003
46,-46,0.003
56,-155,0.002
46,-46,0.005
42,-42,0.004
229,-625,0.009
68,-167,0.007
46,-46,0.004
40,-40,0.003
