step,rewards,times
472,-472,0.027
707,-707,0.04
753,-852,0.035
194,-194,0.009
594,-693,0.029
442,-442,0.057
224,-224,0.015
503,-602,0.039
512,-611,0.031
749,-848,0.042
456,-456,0.025
513,-612,0.031
1059,-1356,0.061
167,-266,0.009
268,-268,0.014
547,-547,0.029
1373,-1571,0.072
174,-273,0.009
159,-159,0.013
879,-978,0.043
846,-1044,0.054
533,-533,0.024
571,-868,0.034
216,-216,0.009
118,-118,0.008
138,-138,0.011
635,-734,0.029
495,-495,0.024
152,-152,0.009
482,-581,0.023
888,-987,0.046
841,-841,0.035
491,-491,0.022
316,-415,0.013
511,-610,0.024
106,-106,0.006
98,-98,0.008
496,-496,0.028
287,-287,0.014
180,-180,0.009
289,-289,0.014
914,-914,0.059
543,-642,0.022
631,-928,0.035
428,-527,0.019
150,-150,0.006
1440,-1539,0.059
228,-228,0.01
106,-304,0.006
349,-349,0.018
224,-224,0.009
425,-425,0.018
455,-554,0.019
273,-273,0.01
706,-706,0.034
146,-146,0.009
566,-665,0.027
526,-526,0.023
686,-785,0.025
108,-108,0.007
646,-745,0.024
469,-667,0.018
967,-1165,0.04
114,-114,0.005
1047,-1047,0.061
88,-88,0.006
357,-357,0.015
288,-288,0.021
148,-148,0.009
238,-238,0.011
470,-470,0.028
202,-202,0.008
815,-815,0.037
356,-356,0.017
666,-765,0.025
1121,-1418,0.054
511,-610,0.02
108,-108,0.006
569,-767,0.037
328,-427,0.018
608,-905,0.03
62,-62,0.004
172,-172,0.01
627,-627,0.037
134,-134,0.009
745,-745,0.048
218,-218,0.011
749,-848,0.032
198,-198,0.014
987,-1185,0.055
813,-912,0.035
434,-632,0.022
158,-158,0.011
125,-125,0.009
518,-617,0.023
457,-457,0.025
418,-715,0.023
426,-426,0.02
508,-607,0.03
144,-144,0.009
568,-568,0.026
428,-428,0.026
725,-725,0.04
400,-499,0.018
676,-676,0.031
126,-126,0.005
625,-823,0.029
177,-177,0.011
86,-86,0.004
804,-804,0.043
312,-510,0.013
1144,-1243,0.054
132,-132,0.006
242,-242,0.014
153,-252,0.007
276,-276,0.017
746,-1241,0.04
104,-104,0.007
945,-1044,0.049
250,-250,0.016
315,-414,0.016
567,-567,0.028
498,-597,0.024
589,-688,0.048
148,-148,0.01
630,-630,0.05
720,-720,0.038
158,-158,0.008
152,-152,0.01
119,-119,0.005
148,-148,0.011
106,-106,0.004
399,-399,0.018
110,-110,0.008
271,-271,0.011
311,-410,0.018
759,-957,0.043
298,-397,0.016
454,-751,0.023
264,-264,0.014
376,-574,0.017
712,-712,0.042
204,-204,0.019
94,-94,0.027
188,-188,0.021
717,-816,0.082
199,-199,0.012
410,-509,0.032
122,-122,0.007
154,-154,0.011
292,-391,0.019
182,-182,0.011
224,-323,0.016
120,-120,0.01
860,-860,0.05
559,-559,0.035
220,-220,0.015
396,-594,0.023
245,-443,0.018
183,-282,0.009
692,-692,0.048
604,-604,0.04
104,-104,0.007
94,-94,0.005
218,-416,0.014
475,-574,0.084
801,-801,0.071
176,-176,0.015
132,-132,0.01
798,-798,0.06
431,-629,0.03
797,-896,0.056
160,-358,0.009
192,-390,0.013
120,-120,0.01
458,-557,0.033
1077,-1374,0.059
120,-219,0.006
506,-605,0.029
132,-132,0.007
937,-1234,0.047
451,-649,0.022
127,-226,0.008
644,-644,0.061
1079,-1475,0.059
612,-909,0.028
298,-298,0.015
574,-574,0.025
86,-86,0.004
451,-649,0.021
134,-233,0.007
370,-370,0.015
661,-859,0.033
314,-512,0.015
551,-551,0.024
96,-96,0.006
733,-733,0.032
166,-265,0.008
201,-300,0.01
86,-86,0.006
134,-233,0.005
375,-573,0.015
747,-945,0.033
392,-392,0.018
258,-258,0.012
1043,-1241,0.048
116,-116,0.006
98,-98,0.004
210,-507,0.011
138,-138,0.007
587,-686,0.028
86,-86,0.004
374,-374,0.019
378,-378,0.019
347,-347,0.022
446,-446,0.02
104,-104,0.008
301,-400,0.016
716,-914,0.038
192,-192,0.009
366,-366,0.02
571,-670,0.026
323,-521,0.019
310,-310,0.012
112,-112,0.007
369,-369,0.016
272,-371,0.013
110,-110,0.006
604,-604,0.026
436,-634,0.019
186,-186,0.008
88,-88,0.006
295,-295,0.017
588,-687,0.026
108,-108,0.006
691,-988,0.032
252,-450,0.011
110,-110,0.005
136,-136,0.005
108,-108,0.006
202,-202,0.009
395,-395,0.016
303,-303,0.013
154,-154,0.006
334,-334,0.013
1001,-1001,0.043
242,-242,0.012
782,-881,0.031
90,-90,0.006
125,-323,0.007
279,-279,0.018
110,-209,0.039
411,-411,0.048
178,-178,0.014
422,-422,0.058
142,-142,0.041
266,-266,0.059
502,-502,0.044
112,-112,0.01
304,-304,0.037
298,-298,0.037
120,-120,0.01
183,-282,0.022
256,-256,0.024
116,-215,0.011
268,-367,0.021
396,-396,0.041
136,-136,0.01
450,-450,0.042
152,-152,0.011
360,-558,0.027
553,-553,0.04
256,-454,0.015
88,-88,0.006
338,-338,0.026
178,-178,0.01
104,-104,0.009
148,-148,0.01
208,-208,0.013
273,-273,0.024
583,-583,0.038
126,-126,0.009
590,-689,0.042
302,-302,0.027
330,-330,0.024
94,-94,0.007
562,-562,0.029
184,-184,0.014
668,-668,0.031
138,-237,0.006
304,-304,0.015
144,-144,0.012
380,-380,0.022
282,-282,0.016
116,-116,0.006
84,-84,0.006
116,-116,0.006
594,-594,0.061
324,-621,0.023
132,-132,0.009
403,-502,0.029
444,-444,0.084
722,-920,0.043
191,-290,0.01
706,-805,0.042
467,-665,0.039
288,-288,0.015
80,-80,0.005
170,-170,0.013
200,-200,0.012
615,-714,0.047
96,-96,0.008
348,-348,0.04
373,-472,0.024
482,-482,0.029
246,-345,0.034
117,-117,0.009
486,-585,0.06
208,-208,0.014
300,-399,0.025
84,-84,0.008
478,-478,0.045
681,-681,0.042
244,-244,0.014
135,-234,0.013
281,-380,0.017
64,-64,0.004
398,-398,0.025
168,-168,0.011
148,-148,0.01
683,-980,0.033
396,-396,0.017
397,-892,0.019
227,-227,0.014
397,-595,0.024
161,-161,0.008
573,-573,0.037
80,-80,0.006
122,-122,0.011
893,-893,0.058
142,-142,0.007
142,-142,0.01
387,-387,0.025
456,-555,0.03
190,-190,0.013
277,-277,0.017
102,-102,0.008
142,-241,0.009
123,-222,0.011
154,-154,0.015
196,-196,0.011
335,-335,0.017
74,-74,0.003
84,-84,0.008
352,-451,0.021
86,-185,0.004
104,-104,0.007
886,-886,0.057
647,-845,0.034
150,-249,0.011
162,-162,0.015
123,-222,0.01
74,-74,0.006
616,-715,0.032
74,-74,0.008
269,-368,0.019
165,-165,0.009
341,-341,0.021
446,-545,0.024
78,-78,0.007
104,-104,0.005
232,-331,0.013
164,-164,0.011
184,-184,0.008
58,-58,0.003
629,-728,0.034
783,-783,0.04
150,-150,0.007
545,-644,0.045
277,-475,0.04
318,-417,0.028
498,-498,0.044
194,-194,0.013
157,-256,0.031
110,-110,0.016
402,-402,0.027
437,-437,0.039
110,-110,0.007
232,-232,0.012
70,-70,0.005
556,-655,0.028
174,-174,0.009
82,-82,0.004
871,-1069,0.044
98,-98,0.005
226,-226,0.01
164,-263,0.009
240,-240,0.013
106,-106,0.007
394,-394,0.018
108,-108,0.008
172,-370,0.009
484,-484,0.022
321,-420,0.015
66,-66,0.003
113,-212,0.006
412,-412,0.019
304,-304,0.014
278,-377,0.015
244,-244,0.017
100,-199,0.004
240,-240,0.014
168,-168,0.009
174,-174,0.008
121,-220,0.008
119,-218,0.008
88,-88,0.004
801,-801,0.051
134,-233,0.006
371,-371,0.019
102,-102,0.005
476,-476,0.027
504,-603,0.027
232,-430,0.015
289,-586,0.018
362,-362,0.019
64,-64,0.005
94,-94,0.004
338,-338,0.018
112,-112,0.009
233,-233,0.012
313,-412,0.016
304,-502,0.013
86,-86,0.005
415,-514,0.018
88,-88,0.006
56,-56,0.003
176,-176,0.008
341,-440,0.017
126,-126,0.009
348,-348,0.019
88,-88,0.007
108,-207,0.006
80,-179,0.007
72,-72,0.008
687,-786,0.044
186,-186,0.012
232,-232,0.021
429,-429,0.02
104,-104,0.007
166,-166,0.008
102,-300,0.007
691,-790,0.035
162,-261,0.009
197,-296,0.011
347,-347,0.019
66,-66,0.005
120,-120,0.006
140,-239,0.009
208,-208,0.012
96,-96,0.007
126,-126,0.005
292,-292,0.023
482,-482,0.039
94,-94,0.004
94,-94,0.008
90,-90,0.006
110,-110,0.006
389,-488,0.023
92,-92,0.005
253,-253,0.014
732,-732,0.05
324,-324,0.021
90,-90,0.01
234,-333,0.014
76,-76,0.007
64,-64,0.006
98,-98,0.007
88,-88,0.008
48,-48,0.004
599,-599,0.029
90,-90,0.005
140,-140,0.008
510,-510,0.03
301,-499,0.015
441,-441,0.027
174,-174,0.009
272,-272,0.017
179,-278,0.013
74,-74,0.006
174,-174,0.012
86,-86,0.006
271,-370,0.017
455,-455,0.03
102,-102,0.005
331,-331,0.018
72,-72,0.005
58,-58,0.005
210,-210,0.009
310,-310,0.013
150,-150,0.01
307,-406,0.013
778,-778,0.034
232,-232,0.012
94,-94,0.007
536,-536,0.021
155,-155,0.008
106,-106,0.005
462,-462,0.019
79,-178,0.004
96,-96,0.007
92,-92,0.005
124,-124,0.005
488,-587,0.02
516,-516,0.026
58,-58,0.003
50,-50,0.003
88,-88,0.005
96,-96,0.004
180,-180,0.009
96,-96,0.006
64,-64,0.003
292,-292,0.012
204,-204,0.008
553,-652,0.027
86,-86,0.004
92,-92,0.005
136,-136,0.008
237,-237,0.012
606,-606,0.036
164,-164,0.008
149,-149,0.008
72,-72,0.004
158,-158,0.006
308,-308,0.014
324,-324,0.014
150,-150,0.006
160,-160,0.009
76,-76,0.003
223,-520,0.01
246,-246,0.011
74,-74,0.006
468,-468,0.02
52,-52,0.002
322,-322,0.017
140,-140,0.006
224,-224,0.01
187,-187,0.011
384,-582,0.018
146,-245,0.007
116,-116,0.007
132,-132,0.006
96,-96,0.004
541,-541,0.026
110,-110,0.006
78,-78,0.004
241,-439,0.012
324,-324,0.014
86,-185,0.005
288,-288,0.013
242,-242,0.012
583,-682,0.025
120,-120,0.005
207,-306,0.01
513,-513,0.022
74,-74,0.004
239,-239,0.009
853,-1051,0.036
332,-332,0.014
82,-82,0.005
168,-267,0.01
92,-92,0.006
484,-484,0.026
238,-238,0.012
72,-72,0.005
186,-285,0.012
177,-375,0.009
150,-150,0.015
340,-637,0.026
84,-84,0.023
624,-624,0.042
90,-189,0.01
574,-574,0.035
380,-380,0.022
78,-78,0.007
134,-134,0.009
96,-96,0.007
54,-54,0.003
302,-302,0.025
94,-94,0.009
116,-116,0.01
394,-493,0.024
130,-229,0.01
70,-70,0.004
305,-404,0.024
332,-431,0.02
427,-427,0.035
80,-80,0.008
122,-122,0.012
408,-408,0.025
166,-265,0.014
378,-378,0.023
86,-86,0.006
96,-96,0.007
221,-320,0.015
58,-58,0.004
299,-398,0.02
662,-662,0.042
66,-66,0.004
172,-271,0.014
207,-306,0.01
80,-80,0.018
76,-76,0.006
168,-366,0.007
216,-216,0.015
148,-148,0.008
233,-233,0.012
70,-70,0.003
66,-66,0.005
78,-78,0.004
403,-403,0.021
144,-144,0.009
508,-508,0.025
96,-96,0.007
120,-120,0.007
279,-279,0.013
176,-176,0.007
154,-154,0.008
139,-337,0.008
120,-219,0.009
90,-90,0.007
48,-48,0.004
86,-86,0.007
82,-82,0.006
88,-88,0.008
205,-304,0.009
278,-278,0.017
70,-70,0.006
134,-134,0.007
242,-242,0.015
274,-274,0.015
270,-270,0.015
78,-78,0.005
98,-98,0.006
270,-270,0.012
78,-78,0.007
343,-442,0.018
148,-247,0.008
89,-188,0.005
444,-543,0.022
552,-552,0.035
176,-176,0.007
122,-122,0.007
782,-782,0.04
68,-68,0.004
354,-552,0.02
122,-122,0.009
296,-296,0.016
133,-430,0.009
194,-194,0.009
118,-217,0.008
465,-564,0.022
72,-72,0.004
163,-361,0.008
164,-362,0.008
135,-234,0.008
64,-64,0.007
359,-359,0.015
178,-178,0.007
346,-346,0.017
134,-233,0.007
426,-426,0.018
229,-427,0.009
292,-292,0.014
92,-92,0.006
513,-612,0.033
235,-235,0.014
183,-282,0.011
62,-62,0.006
497,-596,0.027
145,-244,0.009
136,-136,0.007
377,-674,0.016
491,-590,0.022
94,-94,0.007
94,-94,0.007
66,-66,0.006
74,-74,0.005
643,-643,0.027
172,-172,0.01
86,-86,0.004
66,-66,0.006
260,-260,0.01
72,-72,0.005
180,-180,0.008
281,-281,0.015
52,-52,0.003
262,-262,0.013
94,-94,0.004
90,-90,0.005
736,-934,0.031
234,-234,0.01
56,-56,0.003
96,-96,0.004
134,-134,0.007
70,-70,0.006
573,-870,0.03
68,-68,0.006
238,-238,0.014
195,-393,0.009
461,-659,0.022
353,-452,0.017
232,-331,0.012
52,-52,0.005
62,-62,0.003
102,-102,0.004
54,-54,0.004
157,-355,0.008
206,-206,0.009
435,-435,0.021
275,-275,0.012
232,-232,0.009
94,-94,0.007
230,-230,0.009
336,-336,0.015
159,-357,0.008
84,-84,0.007
302,-302,0.015
662,-761,0.03
232,-232,0.01
149,-149,0.008
76,-76,0.004
196,-295,0.008
408,-408,0.018
94,-94,0.005
188,-287,0.008
141,-240,0.007
164,-164,0.008
46,-46,0.003
70,-70,0.005
86,-86,0.006
62,-62,0.004
242,-242,0.012
330,-330,0.014
549,-648,0.035
58,-58,0.003
275,-374,0.017
353,-353,0.025
149,-248,0.01
54,-54,0.006
142,-241,0.01
52,-52,0.005
60,-60,0.005
60,-60,0.005
297,-297,0.02
200,-200,0.01
382,-382,0.021
78,-78,0.004
565,-664,0.03
58,-58,0.004
212,-212,0.014
106,-106,0.009
108,-108,0.009
50,-50,0.005
56,-56,0.004
106,-106,0.005
64,-64,0.004
136,-136,0.009
125,-224,0.007
162,-360,0.01
52,-52,0.003
102,-102,0.008
465,-465,0.032
254,-254,0.015
303,-402,0.019
82,-82,0.006
90,-90,0.004
61,-160,0.004
105,-204,0.007
54,-54,0.004
266,-365,0.016
467,-566,0.023
188,-287,0.013
82,-82,0.006
90,-90,0.006
554,-554,0.031
66,-66,0.004
106,-205,0.006
126,-126,0.007
94,-94,0.004
66,-66,0.005
182,-182,0.011
134,-233,0.035
506,-506,0.04
70,-70,0.005
130,-130,0.017
192,-192,0.015
399,-498,0.035
136,-136,0.009
441,-441,0.042
46,-46,0.004
303,-402,0.018
56,-56,0.006
88,-88,0.005
73,-172,0.004
140,-140,0.011
66,-66,0.003
68,-68,0.005
206,-404,0.012
76,-76,0.004
267,-366,0.013
328,-328,0.019
70,-70,0.005
311,-311,0.014
115,-214,0.008
80,-80,0.004
74,-74,0.004
471,-471,0.025
205,-304,0.008
155,-452,0.011
93,-192,0.004
78,-78,0.006
791,-1088,0.04
136,-334,0.005
115,-214,0.008
425,-425,0.022
146,-146,0.009
338,-338,0.016
138,-138,0.007
62,-62,0.005
416,-416,0.02
139,-337,0.008
82,-82,0.004
58,-58,0.006
266,-365,0.012
156,-255,0.01
169,-268,0.007
54,-54,0.005
136,-334,0.006
258,-258,0.011
54,-54,0.003
70,-70,0.003
451,-451,0.018
70,-70,0.003
76,-76,0.005
80,-80,0.006
64,-64,0.003
54,-54,0.003
66,-66,0.004
270,-270,0.012
124,-124,0.009
84,-84,0.003
240,-240,0.012
74,-74,0.004
56,-56,0.003
257,-356,0.012
151,-250,0.006
52,-52,0.002
70,-70,0.007
300,-300,0.014
48,-48,0.003
198,-198,0.007
68,-68,0.005
568,-865,0.024
232,-331,0.011
78,-78,0.004
52,-52,0.002
495,-495,0.019
102,-102,0.008
118,-217,0.006
126,-225,0.013
88,-88,0.007
352,-550,0.019
165,-363,0.011
90,-90,0.01
77,-176,0.006
426,-426,0.02
419,-419,0.018
54,-54,0.003
68,-68,0.005
52,-52,0.004
275,-374,0.013
114,-114,0.007
91,-190,0.004
78,-78,0.005
281,-479,0.012
111,-210,0.007
231,-231,0.009
192,-291,0.01
122,-122,0.006
121,-220,0.006
60,-60,0.003
62,-62,0.002
380,-380,0.016
187,-187,0.008
144,-144,0.008
286,-583,0.012
56,-56,0.003
156,-156,0.007
50,-50,0.003
62,-62,0.004
628,-826,0.024
70,-70,0.003
142,-142,0.009
70,-70,0.005
294,-393,0.013
77,-176,0.004
92,-92,0.004
89,-188,0.006
100,-100,0.005
505,-802,0.021
294,-393,0.014
667,-667,0.027
92,-191,0.004
76,-76,0.004
146,-146,0.01
72,-72,0.004
48,-48,0.003
110,-110,0.006
68,-68,0.007
56,-56,0.032
84,-84,0.006
56,-56,0.005
121,-220,0.007
48,-48,0.003
377,-476,0.032
312,-312,0.017
105,-105,0.005
86,-86,0.005
70,-70,0.003
166,-166,0.013
162,-162,0.007
144,-243,0.008
294,-294,0.015
64,-64,0.005
104,-104,0.007
58,-58,0.004
130,-130,0.008
58,-58,0.004
140,-239,0.011
70,-70,0.005
449,-548,0.022
561,-660,0.039
399,-399,0.023
68,-68,0.003
294,-492,0.018
325,-424,0.018
80,-80,0.007
100,-100,0.007
56,-56,0.005
343,-541,0.02
94,-94,0.005
60,-60,0.006
56,-56,0.004
148,-247,0.009
430,-628,0.028
46,-46,0.002
336,-336,0.016
52,-52,0.004
78,-276,0.006
92,-92,0.006
622,-622,0.037
80,-80,0.007
72,-72,0.005
84,-84,0.005
64,-64,0.004
352,-451,0.026
94,-94,0.004
264,-264,0.017
56,-56,0.005
50,-50,0.003
84,-84,0.005
132,-132,0.007
46,-46,0.005
294,-393,0.019
137,-236,0.006
62,-62,0.006
56,-56,0.005
54,-54,0.003
405,-405,0.026
158,-158,0.011
62,-62,0.006
54,-54,0.005
72,-171,0.004
98,-98,0.006
74,-74,0.004
68,-68,0.004
158,-158,0.009
64,-64,0.004
136,-136,0.009
62,-62,0.005
56,-56,0.006
60,-60,0.003
58,-58,0.004
52,-52,0.004
108,-108,0.006
249,-249,0.016
146,-146,0.007
84,-84,0.009
76,-76,0.003
50,-50,0.004
62,-62,0.004
68,-68,0.004
50,-50,0.004
363,-462,0.026
48,-48,0.005
52,-52,0.003
96,-96,0.007
350,-350,0.018
108,-108,0.008
50,-50,0.007
68,-68,0.007
74,-74,0.005
175,-274,0.011
190,-190,0.016
266,-365,0.019
84,-84,0.006
150,-348,0.011
44,-44,0.003
147,-246,0.009
550,-649,0.038
46,-46,0.003
88,-88,0.008
52,-52,0.003
46,-46,0.003
180,-279,0.013
212,-212,0.018
76,-76,0.006
343,-343,0.017
88,-88,0.006
54,-54,0.004
94,-94,0.006
405,-405,0.021
64,-64,0.004
201,-201,0.012
119,-218,0.009
69,-168,0.003
52,-52,0.004
50,-50,0.003
212,-410,0.01
264,-264,0.014
180,-180,0.01
44,-44,0.005
64,-64,0.003
304,-403,0.016
162,-360,0.01
68,-167,0.004
162,-261,0.01
76,-175,0.006
253,-253,0.017
398,-497,0.022
50,-50,0.006
144,-144,0.007
76,-76,0.006
74,-74,0.005
50,-50,0.004
148,-148,0.01
80,-278,0.005
62,-62,0.003
58,-58,0.006
108,-207,0.009
92,-92,0.009
150,-249,0.011
106,-106,0.011
551,-650,0.036
203,-302,0.011
46,-46,0.003
586,-586,0.046
76,-76,0.005
76,-76,0.005
64,-64,0.007
60,-60,0.005
68,-68,0.004
171,-369,0.013
154,-154,0.01
58,-58,0.005
66,-66,0.005
471,-471,0.026
73,-271,0.005
54,-54,0.002
48,-48,0.006
366,-564,0.019
48,-48,0.003
833,-932,0.044
146,-146,0.007
88,-187,0.006
152,-152,0.009
74,-74,0.004
64,-163,0.004
244,-343,0.012
46,-46,0.002
54,-54,0.003
74,-74,0.005
50,-50,0.005
72,-72,0.004
251,-251,0.019
350,-350,0.02
100,-100,0.009
186,-384,0.013
281,-380,0.015
248,-347,0.014
68,-68,0.005
48,-48,0.003
52,-52,0.003
54,-54,0.005
62,-161,0.005
189,-288,0.012
152,-152,0.009
107,-206,0.01
60,-60,0.006
206,-503,0.014
48,-48,0.005
107,-206,0.009
56,-56,0.006
52,-52,0.004
171,-171,0.015
52,-52,0.005
394,-394,0.032
97,-97,0.009
278,-476,0.021
332,-332,0.034
62,-62,0.008
46,-46,0.004
58,-58,0.005
368,-368,0.046
192,-192,0.021
475,-475,0.041
148,-148,0.013
112,-211,0.01
70,-70,0.009
185,-383,0.02
104,-104,0.01
58,-58,0.007
50,-50,0.004
197,-197,0.018
477,-576,0.034
50,-50,0.026
52,-52,0.005
54,-54,0.008
64,-64,0.007
408,-408,0.057
120,-219,0.021
143,-242,0.013
158,-158,0.018
50,-50,0.003
54,-54,0.006
52,-52,0.007
130,-229,0.011
232,-331,0.016
129,-228,0.014
93,-93,0.011
54,-54,0.004
152,-152,0.013
50,-50,0.005
46,-46,0.007
58,-58,0.009
62,-62,0.007
90,-90,0.022
72,-72,0.007
130,-328,0.02
130,-130,0.01
60,-60,0.006
52,-52,0.005
257,-257,0.016
81,-180,0.006
46,-46,0.006
126,-126,0.01
268,-268,0.021
70,-70,0.004
267,-267,0.019
63,-162,0.01
48,-48,0.003
88,-88,0.009
48,-48,0.005
257,-257,0.032
88,-88,0.008
56,-56,0.005
76,-76,0.006
144,-144,0.013
146,-245,0.015
196,-196,0.016
54,-54,0.007
56,-56,0.008
102,-102,0.008
58,-58,0.008
69,-168,0.004
50,-50,0.005
346,-346,0.019
153,-252,0.011
176,-275,0.012
105,-105,0.009
62,-62,0.007
133,-232,0.009
285,-384,0.026
46,-46,0.005
112,-211,0.012
